"Category","Peak Demand","Peak Met"
" Tamil Nadu<br>Dec-2020",14004.2839,14004.2839
" Tamil Nadu<br>Jan-2021",13907.9491,13907.9491
" Tamil Nadu<br>Feb-2021",15003.6887,15003.6887
" Tamil Nadu<br>Mar-2021",16263.347,16263.347
" Tamil Nadu<br>Apr-2021",16540.8717,16519.3997
" Tamil Nadu<br>May-2021",15695.6224,15695.6224
" Tamil Nadu<br>Jun-2021",15820.1237,15820.1237
" Tamil Nadu<br>Jul-2021",15331.95,15331.95
" Tamil Nadu<br>Aug-2021",15729.82066666666,15718.19
" Tamil Nadu<br>Sep-2021",15610.0756,15522.7236
" Tamil Nadu<br>Oct-2021",14461.94376666666,14442.5051
" Tamil Nadu<br>Nov-2021",13204.86623333333,13198.6849
" Tamil Nadu<br>Dec-2021",14219.3999,14219.3999
" Tamil Nadu<br>Jan-2022",14987.49733333334,14979.12
" Tamil Nadu<br>Feb-2022",15989.76,15989.76
" Tamil Nadu<br>Feb-2022",15989.76,15989.76
" Tamil Nadu<br>Mar-2022",16891.2249,16891.2249
" Tamil Nadu<br>Mar-2022",16891.2249,16891.2249
" Tamil Nadu<br>Apr-2022",17306.06773333333,17248.1584
" Tamil Nadu<br>Apr-2022",17306.06773333333,17248.1584
" Tamil Nadu<br>May-2022",16635.7728,16635.7728
" Tamil Nadu<br>May-2022",16635.7728,16635.7728
" Tamil Nadu<br>Jun-2022",16929.2947,16929.2947
" Tamil Nadu<br>Jun-2022",16929.2947,16929.2947
" Tamil Nadu<br>Jul-2022",15989.25643333333,15969.1671
" Tamil Nadu<br>Jul-2022",15989.25643333333,15969.1671
" Tamil Nadu<br>Aug-2022",16410.9339,16410.9339
" Tamil Nadu<br>Sep-2022",16110.21933333333,16073.05
" Tamil Nadu<br>Oct-2022",15216.88033333333,15215.823
" Tamil Nadu<br>Nov-2022",14856.2585,14856.2585
" Tamil Nadu<br>Dec-2022",15304.8077,15304.8077
" Tamil Nadu<br>Jan-2023",15720.2372,15716.8212
" Tamil Nadu<br>Feb-2023",16459.2162,16459.2162
" Tamil Nadu<br>Mar-2023",17729.2772,17729.2772
" Tamil Nadu<br>Apr-2023",19044.7801,19044.7801
" Tamil Nadu<br>May-2023",18360.8502,18314.3002
" Tamil Nadu<br>Jun-2023",18220.196,18220.196
" Tamil Nadu<br>Jul-2023",17457.823,17457.823
" Tamil Nadu<br>Aug-2023",17889.63073333333,17878.1974
" Tamil Nadu<br>Sep-2023",16860.37616666666,16770.2195
" Tamil Nadu<br>Oct-2023",17078.9857,17078.9857
" Tamil Nadu<br>Nov-2023",15732.4498,15732.4498
" Tamil Nadu<br>Dec-2023",15557.5856,15557.5856
" Tamil Nadu<br>Jan-2024",16620.9638,16620.9638
" Tamil Nadu<br>Feb-2024",17996.1874,17996.1874
" Tamil Nadu<br>Mar-2024",19040.622,19040.622
" Tamil Nadu<br>Apr-2024",20326.3005,20326.3005
" Tamil Nadu<br>May-2024",20784.0827,20784.0827
" Tamil Nadu<br>Jun-2024",18501.22583333333,18497.5525
" Tamil Nadu<br>Jul-2024",18197,18197
" Tamil Nadu<br>Aug-2024",17843,17843
" Tamil Nadu<br>Sep-2024",19171,19171
" Tamil Nadu<br>Oct-2024",17835,17835
" Tamil Nadu<br>Nov-2024",16570,16570
" Tamil Nadu<br>Dec-2024",15997,15997
" Tamil Nadu<br>Jan-2025",16992,16992
" Tamil Nadu<br>Feb-2025",18322,18248
" Tamil Nadu<br>Mar-2025",19679,19679
" Tamil Nadu<br>Apr-2025",19864,19864
" Tamil Nadu<br>May-2025",19167,19156
" Tamil Nadu<br>Jun-2025",19665,19665
" Tamil Nadu<br>Jul-2025",19878,19878
" Tamil Nadu<br>Aug-2025",19047,19047
" Tamil Nadu<br>Sep-2025",18405,18386
" Tamil Nadu<br>Oct-2025",17635,17618
" Tamil Nadu<br>Nov-2025",17739,17739
" Tamil Nadu<br>Dec-2025",17615,17598
