"Category","Peak Demand","Peak Met"
" Gujarat<br>Dec-2020",16759,16759
" Gujarat<br>Jan-2021",17323.17025,17305
" Gujarat<br>Feb-2021",17304.1044,17292
" Gujarat<br>Mar-2021",18528.28335,18483
" Gujarat<br>Apr-2021",19360,19360
" Gujarat<br>May-2021",17924.2713,17918
" Gujarat<br>Jun-2021",18111.99765,18093
" Gujarat<br>Jul-2021",19007,19007
" Gujarat<br>Aug-2021",19451.40255,19431
" Gujarat<br>Sep-2021",15499.39735,15421
" Gujarat<br>Oct-2021",17420,17420
" Gujarat<br>Nov-2021",17076,17076
" Gujarat<br>Dec-2021",18021.6963,17709
" Gujarat<br>Jan-2022",17680,17680
" Gujarat<br>Feb-2022",17492.6576,17456
" Gujarat<br>Feb-2022",17492.6576,17456
" Gujarat<br>Mar-2022",19348.28745,19301
" Gujarat<br>Mar-2022",19348.28745,19301
" Gujarat<br>Apr-2022",21464.3207,21382
" Gujarat<br>Apr-2022",21464.3207,21382
" Gujarat<br>May-2022",20769,20769
" Gujarat<br>May-2022",20769,20769
" Gujarat<br>Jun-2022",21236,21236
" Gujarat<br>Jun-2022",21236,21236
" Gujarat<br>Jul-2022",17428,17428
" Gujarat<br>Jul-2022",17428,17428
" Gujarat<br>Aug-2022",17632,17632
" Gujarat<br>Sep-2022",20341,20341
" Gujarat<br>Oct-2022",20275.2667,20254
" Gujarat<br>Nov-2022",19704,19704
" Gujarat<br>Dec-2022",20146.19425,20111
" Gujarat<br>Jan-2023",19699.2818,19658
" Gujarat<br>Feb-2023",19185,19185
" Gujarat<br>Mar-2023",19464,19464
" Gujarat<br>Apr-2023",21627,21627
" Gujarat<br>May-2023",21339.834,21310
" Gujarat<br>Jun-2023",22225,22225
" Gujarat<br>Jul-2023",17715.2964,17672
" Gujarat<br>Aug-2023",23012.201,22972
" Gujarat<br>Sep-2023",24829.4944,24544
" Gujarat<br>Oct-2023",21689,21689
" Gujarat<br>Nov-2023",21701.5929,21694
" Gujarat<br>Dec-2023",21430.4784,21408
" Gujarat<br>Jan-2024",21861,21861
" Gujarat<br>Feb-2024",21248,21248
" Gujarat<br>Mar-2024",21843,21843
" Gujarat<br>Apr-2024",23932.7412,23916
" Gujarat<br>May-2024",24922,24922
" Gujarat<br>Jun-2024",25588,25588
" Gujarat<br>Jul-2024",19991,19991
" Gujarat<br>Aug-2024",21918,21918
" Gujarat<br>Sep-2024",24205,24205
" Gujarat<br>Oct-2024",22092,22092
" Gujarat<br>Nov-2024",21493,21493
" Gujarat<br>Dec-2024",22461,22453
" Gujarat<br>Jan-2025",23929,23929
" Gujarat<br>Feb-2025",23780,23780
" Gujarat<br>Mar-2025",24395,24378
" Gujarat<br>Apr-2025",26430,26421
" Gujarat<br>May-2025",25699,25681
" Gujarat<br>Jun-2025",26457,26457
" Gujarat<br>Jul-2025",20751,20751
" Gujarat<br>Aug-2025",25059,24998
" Gujarat<br>Sep-2025",24291,24274
" Gujarat<br>Oct-2025",21822,21822
" Gujarat<br>Nov-2025",23296,23296
" Gujarat<br>Dec-2025",24369,24369
