"Category","Peak Demand","Peak Met"
" Telangana<br>Dec-2020",11336.178,11316
" Telangana<br>Jan-2021",13252,13252
" Telangana<br>Feb-2021",13452,13452
" Telangana<br>Mar-2021",13688,13688
" Telangana<br>Apr-2021",13621.727,13595
" Telangana<br>May-2021",8202.472,8202
" Telangana<br>Jun-2021",11130,11130
" Telangana<br>Jul-2021",11512,11512
" Telangana<br>Aug-2021",12855,12855
" Telangana<br>Sep-2021",12454.066,12432
" Telangana<br>Oct-2021",10763.425,10759
" Telangana<br>Nov-2021",8365.154,8353
" Telangana<br>Dec-2021",10960.252,10935
" Telangana<br>Jan-2022",11897.171,11840
" Telangana<br>Feb-2022",13178,13178
" Telangana<br>Feb-2022",13178,13178
" Telangana<br>Mar-2022",14162.714,14160
" Telangana<br>Mar-2022",14162.714,14160
" Telangana<br>Apr-2022",13636,13636
" Telangana<br>Apr-2022",13636,13636
" Telangana<br>May-2022",10519,10519
" Telangana<br>May-2022",10519,10519
" Telangana<br>Jun-2022",9898.039999999999,9806
" Telangana<br>Jun-2022",9898.039999999999,9806
" Telangana<br>Jul-2022",12468,12468
" Telangana<br>Jul-2022",12468,12468
" Telangana<br>Aug-2022",13695.357,13079
" Telangana<br>Sep-2022",13191.413,13191
" Telangana<br>Oct-2022",11847.373,11821
" Telangana<br>Nov-2022",9953,9953
" Telangana<br>Dec-2022",14017,14017
" Telangana<br>Jan-2023",13906,13906
" Telangana<br>Feb-2023",14794,14794
" Telangana<br>Mar-2023",15497,15497
" Telangana<br>Apr-2023",14591.04,14499
" Telangana<br>May-2023",9879.252499999999,9867
" Telangana<br>Jun-2023",11417,11417
" Telangana<br>Jul-2023",12610,12610
" Telangana<br>Aug-2023",14816,14816
" Telangana<br>Sep-2023",15380.3675,15370
" Telangana<br>Oct-2023",15266,15266
" Telangana<br>Nov-2023",11857,11857
" Telangana<br>Dec-2023",12666,12666
" Telangana<br>Jan-2024",13810,13810
" Telangana<br>Feb-2024",15164,15164
" Telangana<br>Mar-2024",15622.0575,15622.0575
" Telangana<br>Apr-2024",13915.60516666667,13884
" Telangana<br>May-2024",11257,11257
" Telangana<br>Jun-2024",11244,11244
" Telangana<br>Jul-2024",13541,13541
" Telangana<br>Aug-2024",15573,15573
" Telangana<br>Sep-2024",15470,15470
" Telangana<br>Oct-2024",14003,14003
" Telangana<br>Nov-2024",11209,11180
" Telangana<br>Dec-2024",14375,14375
" Telangana<br>Jan-2025",15205,15205
" Telangana<br>Feb-2025",16601,16601
" Telangana<br>Mar-2025",17162,17162
" Telangana<br>Apr-2025",14925,14925
" Telangana<br>May-2025",10803,10803
" Telangana<br>Jun-2025",11814,11808
" Telangana<br>Jul-2025",15443,15443
" Telangana<br>Aug-2025",16613,16613
" Telangana<br>Sep-2025",15906,15906
" Telangana<br>Oct-2025",12998,12998
" Telangana<br>Nov-2025",11188,11188
" Telangana<br>Dec-2025",14653,14653
