"Category","Peak Demand","Peak Met"
" Punjab<br>Dec-2020",6707,6707
" Punjab<br>Jan-2021",7017,7017
" Punjab<br>Feb-2021",7118,7118
" Punjab<br>Mar-2021",7440,7440
" Punjab<br>Apr-2021",6860,6860
" Punjab<br>May-2021",8195,8195
" Punjab<br>Jun-2021",13359,13359
" Punjab<br>Jul-2021",13556,13431
" Punjab<br>Aug-2021",13215,13215
" Punjab<br>Sep-2021",12002,12002
" Punjab<br>Oct-2021",9625,9625
" Punjab<br>Nov-2021",6405,6405
" Punjab<br>Dec-2021",7337,7337
" Punjab<br>Jan-2022",7105,7105
" Punjab<br>Feb-2022",7076,7076
" Punjab<br>Feb-2022",7076,7076
" Punjab<br>Mar-2022",8475,8475
" Punjab<br>Mar-2022",8475,8475
" Punjab<br>Apr-2022",9889,9789
" Punjab<br>Apr-2022",9889,9789
" Punjab<br>May-2022",10887,10887
" Punjab<br>May-2022",10887,10887
" Punjab<br>Jun-2022",14311,14311
" Punjab<br>Jun-2022",14311,14311
" Punjab<br>Jul-2022",14069,14069
" Punjab<br>Jul-2022",14069,14069
" Punjab<br>Aug-2022",14298,14298
" Punjab<br>Sep-2022",14187,14187
" Punjab<br>Oct-2022",11479,11479
" Punjab<br>Nov-2022",7267,7267
" Punjab<br>Dec-2022",7989,7989
" Punjab<br>Jan-2023",9063,9063
" Punjab<br>Feb-2023",8864,8864
" Punjab<br>Mar-2023",8840,8840
" Punjab<br>Apr-2023",8187,8187
" Punjab<br>May-2023",11725,11725
" Punjab<br>Jun-2023",15292.56,15292.56
" Punjab<br>Jul-2023",14665,14665
" Punjab<br>Aug-2023",15132.48,15132.48
" Punjab<br>Sep-2023",14963.76,14963.76
" Punjab<br>Oct-2023",12213.48,12213.48
" Punjab<br>Nov-2023",7380.48,7380.48
" Punjab<br>Dec-2023",8040.68,8040.68
" Punjab<br>Jan-2024",9370.44,9370.44
" Punjab<br>Feb-2024",10180.12,10180.12
" Punjab<br>Mar-2024",10112.2,10112.2
" Punjab<br>Apr-2024",9914.048162000001,9914.048162000001
" Punjab<br>May-2024",14366.2,14366.2
" Punjab<br>Jun-2024",16057.96,16057.96
" Punjab<br>Jul-2024",16006,16006
" Punjab<br>Aug-2024",15307,15307
" Punjab<br>Sep-2024",15310,15310
" Punjab<br>Oct-2024",14311,14311
" Punjab<br>Nov-2024",8755,8755
" Punjab<br>Dec-2024",9381,9381
" Punjab<br>Jan-2025",9869,9869
" Punjab<br>Feb-2025",10165,10165
" Punjab<br>Mar-2025",10083,10083
" Punjab<br>Apr-2025",10919,10919
" Punjab<br>May-2025",13969,13969
" Punjab<br>Jun-2025",16428,16428
" Punjab<br>Jul-2025",16670,16670
" Punjab<br>Aug-2025",16310,16310
" Punjab<br>Sep-2025",14440,14440
" Punjab<br>Oct-2025",12989,12989
" Punjab<br>Nov-2025",9808,9808
" Punjab<br>Dec-2025",10172,10172
