"Category","Peak Demand","Peak Met"
" Andhra Pradesh<br>Dec-2020",8967.481499999998,8934
" Andhra Pradesh<br>Jan-2021",9977,9977
" Andhra Pradesh<br>Feb-2021",10457,10457
" Andhra Pradesh<br>Mar-2021",11193,11193
" Andhra Pradesh<br>Apr-2021",11570,11570
" Andhra Pradesh<br>May-2021",10252,10252
" Andhra Pradesh<br>Jun-2021",10215.18481238779,10172
" Andhra Pradesh<br>Jul-2021",9654,9654
" Andhra Pradesh<br>Aug-2021",11018,11018
" Andhra Pradesh<br>Sep-2021",10452.1205,10445
" Andhra Pradesh<br>Oct-2021",9865,9865
" Andhra Pradesh<br>Nov-2021",7875.706000000002,7865
" Andhra Pradesh<br>Dec-2021",9462,9462
" Andhra Pradesh<br>Jan-2022",10143.0885,10122
" Andhra Pradesh<br>Feb-2022",11342,11342
" Andhra Pradesh<br>Feb-2022",11342,11342
" Andhra Pradesh<br>Mar-2022",12551.05841660044,12032
" Andhra Pradesh<br>Mar-2022",12551.05841660044,12032
" Andhra Pradesh<br>Apr-2022",13166.8385,12293
" Andhra Pradesh<br>Apr-2022",13166.8385,12293
" Andhra Pradesh<br>May-2022",11218,11218
" Andhra Pradesh<br>May-2022",11218,11218
" Andhra Pradesh<br>Jun-2022",11309.2565,11248
" Andhra Pradesh<br>Jun-2022",11309.2565,11248
" Andhra Pradesh<br>Jul-2022",9790.270000000004,9763
" Andhra Pradesh<br>Jul-2022",9790.270000000004,9763
" Andhra Pradesh<br>Aug-2022",11371.72,11299
" Andhra Pradesh<br>Sep-2022",10920,10920
" Andhra Pradesh<br>Oct-2022",9878.360499999999,9847
" Andhra Pradesh<br>Nov-2022",9588,9588
" Andhra Pradesh<br>Dec-2022",10268,10268
" Andhra Pradesh<br>Jan-2023",11471.78400000001,11433
" Andhra Pradesh<br>Feb-2023",11981,11981
" Andhra Pradesh<br>Mar-2023",12227,12227
" Andhra Pradesh<br>Apr-2023",12566,12566
" Andhra Pradesh<br>May-2023",12653,12653
" Andhra Pradesh<br>Jun-2023",12908.8275,12900
" Andhra Pradesh<br>Jul-2023",11584,11584
" Andhra Pradesh<br>Aug-2023",12508,12508
" Andhra Pradesh<br>Sep-2023",12372,12372
" Andhra Pradesh<br>Oct-2023",13028,13028
" Andhra Pradesh<br>Nov-2023",12084,12084
" Andhra Pradesh<br>Dec-2023",11052,11052
" Andhra Pradesh<br>Jan-2024",12216,12216
" Andhra Pradesh<br>Feb-2024",13061,13061
" Andhra Pradesh<br>Mar-2024",13237.345,13237.345
" Andhra Pradesh<br>Apr-2024",13418,13418
" Andhra Pradesh<br>May-2024",13712,13712
" Andhra Pradesh<br>Jun-2024",12578,12578
" Andhra Pradesh<br>Jul-2024",10901,10901
" Andhra Pradesh<br>Aug-2024",11830,11825
" Andhra Pradesh<br>Sep-2024",12436,12410
" Andhra Pradesh<br>Oct-2024",11545,11545
" Andhra Pradesh<br>Nov-2024",11024,11024
" Andhra Pradesh<br>Dec-2024",10526,10526
" Andhra Pradesh<br>Jan-2025",12087,12026
" Andhra Pradesh<br>Feb-2025",12737,12726
" Andhra Pradesh<br>Mar-2025",13108,13107
" Andhra Pradesh<br>Apr-2025",13121,13117
" Andhra Pradesh<br>May-2025",12599,12599
" Andhra Pradesh<br>Jun-2025",12255,12255
" Andhra Pradesh<br>Jul-2025",12956,12956
" Andhra Pradesh<br>Aug-2025",12875,12875
" Andhra Pradesh<br>Sep-2025",12469,12446
" Andhra Pradesh<br>Oct-2025",10851,10851
" Andhra Pradesh<br>Nov-2025",10076,10076
" Andhra Pradesh<br>Dec-2025",11636,11586
