"Category","Peak Demand","Peak Met"
" Kerala<br>Dec-2020",3806.723300000001,3692.7123
" Kerala<br>Jan-2021",3890.6488,3731.4428
" Kerala<br>Feb-2021",4199.5733,3914.4903
" Kerala<br>Mar-2021",4275.315,4269.435
" Kerala<br>Apr-2021",4261.233,4235.03
" Kerala<br>May-2021",3882.3712,3879.6622
" Kerala<br>Jun-2021",3593.3156,3593.3156
" Kerala<br>Jul-2021",3618.05,3618.05
" Kerala<br>Aug-2021",3895.253,3590.99
" Kerala<br>Sep-2021",3761.2708,3761.2708
" Kerala<br>Oct-2021",3747.480799999999,3742.4618
" Kerala<br>Nov-2021",3680.2887,3680.2887
" Kerala<br>Dec-2021",3829.5257,3824.8217
" Kerala<br>Jan-2022",3892.265,3889.49
" Kerala<br>Feb-2022",4038,4038
" Kerala<br>Feb-2022",4038,4038
" Kerala<br>Mar-2022",4374.074000000001,4363.805
" Kerala<br>Mar-2022",4374.074000000001,4363.805
" Kerala<br>Apr-2022",4698.693199999999,4369.9022
" Kerala<br>Apr-2022",4698.693199999999,4369.9022
" Kerala<br>May-2022",4183.9414,4168.4854
" Kerala<br>May-2022",4183.9414,4168.4854
" Kerala<br>Jun-2022",3975.1872,3975.1872
" Kerala<br>Jun-2022",3975.1872,3975.1872
" Kerala<br>Jul-2022",3647.569700000001,3646.4987
" Kerala<br>Jul-2022",3647.569700000001,3646.4987
" Kerala<br>Aug-2022",3815.230099999999,3790.5761
" Kerala<br>Sep-2022",3864.028,3851.47
" Kerala<br>Oct-2022",4338.234799999999,4336.4918
" Kerala<br>Nov-2022",3919.2452,3919.2452
" Kerala<br>Dec-2022",3944.8696,3944.8696
" Kerala<br>Jan-2023",3979.5527,3979.5527
" Kerala<br>Feb-2023",4198.0238,4198.0238
" Kerala<br>Mar-2023",4503.9574,4503.9574
" Kerala<br>Apr-2023",5010.3296,5010.3296
" Kerala<br>May-2023",4848.294599999999,4846.4646
" Kerala<br>Jun-2023",4610.452200000001,4599.7772
" Kerala<br>Jul-2023",3983.0624,3983.0624
" Kerala<br>Aug-2023",4356.2667,4356.2667
" Kerala<br>Sep-2023",4108.827866666668,4107.4672
" Kerala<br>Oct-2023",4159.003,4143.448
" Kerala<br>Nov-2023",4292.7796,4292.7796
" Kerala<br>Dec-2023",4259.5937,4259.5937
" Kerala<br>Jan-2024",4339.6619,4339.6619
" Kerala<br>Feb-2024",4826.8239,4826.8239
" Kerala<br>Mar-2024",5283.7078,5283.7078
" Kerala<br>Apr-2024",5904.416666666666,5630.788
" Kerala<br>May-2024",5797,5797
" Kerala<br>Jun-2024",4383.2929,4383.2929
" Kerala<br>Jul-2024",4167,4167
" Kerala<br>Aug-2024",4247,4247
" Kerala<br>Sep-2024",4545,4336
" Kerala<br>Oct-2024",4440,4440
" Kerala<br>Nov-2024",4489,4489
" Kerala<br>Dec-2024",4466,4466
" Kerala<br>Jan-2025",4515,4506
" Kerala<br>Feb-2025",5006,5000
" Kerala<br>Mar-2025",5341,5334
" Kerala<br>Apr-2025",5138,5125
" Kerala<br>May-2025",5185,5178
" Kerala<br>Jun-2025",4473,4473
" Kerala<br>Jul-2025",4153,4144
" Kerala<br>Aug-2025",4382,4382
" Kerala<br>Sep-2025",4467,4467
" Kerala<br>Oct-2025",4581,4581
" Kerala<br>Nov-2025",4575,4575
" Kerala<br>Dec-2025",4567,4567
