"Category","Peak Demand","Peak Met"
" Rajasthan<br>Dec-2020",14335,14335
" Rajasthan<br>Jan-2021",14364,14364
" Rajasthan<br>Feb-2021",14441,14441
" Rajasthan<br>Mar-2021",14040,14040
" Rajasthan<br>Apr-2021",11570,11570
" Rajasthan<br>May-2021",11531,11531
" Rajasthan<br>Jun-2021",12787,12787
" Rajasthan<br>Jul-2021",13974,13974
" Rajasthan<br>Aug-2021",14690,14690
" Rajasthan<br>Sep-2021",12047,12047
" Rajasthan<br>Oct-2021",12767,12767
" Rajasthan<br>Nov-2021",14253,14253
" Rajasthan<br>Dec-2021",15752,15752
" Rajasthan<br>Jan-2022",15634,15634
" Rajasthan<br>Feb-2022",15784,15784
" Rajasthan<br>Feb-2022",15784,15784
" Rajasthan<br>Mar-2022",15749,15749
" Rajasthan<br>Mar-2022",15749,15749
" Rajasthan<br>Apr-2022",14291,14167
" Rajasthan<br>Apr-2022",14291,14167
" Rajasthan<br>May-2022",15949,15898
" Rajasthan<br>May-2022",15949,15898
" Rajasthan<br>Jun-2022",16012,16012
" Rajasthan<br>Jun-2022",16012,16012
" Rajasthan<br>Jul-2022",12332,12332
" Rajasthan<br>Jul-2022",12332,12332
" Rajasthan<br>Aug-2022",13808,13808
" Rajasthan<br>Sep-2022",15843,15843
" Rajasthan<br>Oct-2022",14072,14072
" Rajasthan<br>Nov-2022",16023,16023
" Rajasthan<br>Dec-2022",16777,16612
" Rajasthan<br>Jan-2023",17399,17206
" Rajasthan<br>Feb-2023",16754,16754
" Rajasthan<br>Mar-2023",15833,15637
" Rajasthan<br>Apr-2023",13776,13776
" Rajasthan<br>May-2023",16470,16470
" Rajasthan<br>Jun-2023",15840,15840
" Rajasthan<br>Jul-2023",14204,14204
" Rajasthan<br>Aug-2023",17420,17266
" Rajasthan<br>Sep-2023",17956,17840
" Rajasthan<br>Oct-2023",15641,15641
" Rajasthan<br>Nov-2023",16409,16409
" Rajasthan<br>Dec-2023",17570,17570
" Rajasthan<br>Jan-2024",18128,18128
" Rajasthan<br>Feb-2024",17867,17867
" Rajasthan<br>Mar-2024",17030,17030
" Rajasthan<br>Apr-2024",14283,14283
" Rajasthan<br>May-2024",17567,17567
" Rajasthan<br>Jun-2024",17774,17774
" Rajasthan<br>Jul-2024",16371,16371
" Rajasthan<br>Aug-2024",13409,13409
" Rajasthan<br>Sep-2024",16292,16292
" Rajasthan<br>Oct-2024",16206,16206
" Rajasthan<br>Nov-2024",17434,17434
" Rajasthan<br>Dec-2024",18643,18643
" Rajasthan<br>Jan-2025",18752,18752
" Rajasthan<br>Feb-2025",19165,19165
" Rajasthan<br>Mar-2025",17763,17763
" Rajasthan<br>Apr-2025",15800,15800
" Rajasthan<br>May-2025",17336,17336
" Rajasthan<br>Jun-2025",18509,18509
" Rajasthan<br>Jul-2025",14685,14685
" Rajasthan<br>Aug-2025",17607,17607
" Rajasthan<br>Sep-2025",16020,16020
" Rajasthan<br>Oct-2025",14165,14165
" Rajasthan<br>Nov-2025",17859,17859
" Rajasthan<br>Dec-2025",19100,19100
