"Category","Peak Demand","Peak Met"
" West Bengal<br>Dec-2020",6362.402943514717,6354.063235518101
" West Bengal<br>Jan-2021",6775.936301406251,6775.936301406251
" West Bengal<br>Feb-2021",7016.10120491805,7007.516996597217
" West Bengal<br>Mar-2021",8845.689315219286,8845.689315219286
" West Bengal<br>Apr-2021",9089.124217480663,9086.73894850668
" West Bengal<br>May-2021",8696.111157254905,8683.953622183848
" West Bengal<br>Jun-2021",8533.86417242063,8523.364089289063
" West Bengal<br>Jul-2021",8859.045694531165,8838.9371126
" West Bengal<br>Aug-2021",8798.439701352436,8780.768404937498
" West Bengal<br>Sep-2021",8800.699930779687,8800.699930779687
" West Bengal<br>Oct-2021",8897.386556925901,8854.396232000001
" West Bengal<br>Nov-2021",6775.034285400729,6767.3364402
" West Bengal<br>Dec-2021",6349.312012207487,6342.65222736875
" West Bengal<br>Jan-2022",6652.0132213,6652.0132213
" West Bengal<br>Feb-2022",6545.265667043952,6542.975625575001
" West Bengal<br>Feb-2022",6545.265667043952,6542.975625575001
" West Bengal<br>Mar-2022",8919.71186006749,8900.242579425001
" West Bengal<br>Mar-2022",8919.71186006749,8900.242579425001
" West Bengal<br>Apr-2022",10124.86757004647,9900.156668
" West Bengal<br>Apr-2022",10124.86757004647,9900.156668
" West Bengal<br>May-2022",8836.59216984748,8821.600763400002
" West Bengal<br>May-2022",8836.59216984748,8821.600763400002
" West Bengal<br>Jun-2022",9592.065528534113,9563.7724908
" West Bengal<br>Jun-2022",9592.065528534113,9563.7724908
" West Bengal<br>Jul-2022",9558.98720218,9557.5118153
" West Bengal<br>Jul-2022",9558.98720218,9557.5118153
" West Bengal<br>Aug-2022",9693.536424985277,9689.7460421
" West Bengal<br>Sep-2022",9618.777918022435,9613.7307094
" West Bengal<br>Oct-2022",9106.37646924,9101.195849400001
" West Bengal<br>Nov-2022",7594.521708800001,7594.521708800001
" West Bengal<br>Dec-2022",6615.548057563501,6532.664872
" West Bengal<br>Jan-2023",7111.947111031451,7108.215298000001
" West Bengal<br>Feb-2023",7788.775520499999,7788.775520499999
" West Bengal<br>Mar-2023",8802.741601599999,8802.741601599999
" West Bengal<br>Apr-2023",11418.39775278079,11414.4495561
" West Bengal<br>May-2023",10838.16576578079,10834.2175691
" West Bengal<br>Jun-2023",11626.1891478,11626.1891478
" West Bengal<br>Jul-2023",10696,10696
" West Bengal<br>Aug-2023",11036.713685,11036.713685
" West Bengal<br>Sep-2023",10377.3182452,10377.3182452
" West Bengal<br>Oct-2023",9957.722220400003,9957.722220400003
" West Bengal<br>Nov-2023",8559.279982,8523.519982
" West Bengal<br>Dec-2023",6902.8127706,6902.8127706
" West Bengal<br>Jan-2024",7267.6987611,7267.6987611
" West Bengal<br>Feb-2024",7607.9688454,7607.9688454
" West Bengal<br>Mar-2024",9955.766726299998,9955.766726299998
" West Bengal<br>Apr-2024",12644.80799918,12640.2551803
" West Bengal<br>May-2024",12191.65509472794,12187.3895084
" West Bengal<br>Jun-2024",12187.3895084,12187.3895084
" West Bengal<br>Jul-2024",11457,11457
" West Bengal<br>Aug-2024",10784,10764
" West Bengal<br>Sep-2024",11804,11804
" West Bengal<br>Oct-2024",11250,11249
" West Bengal<br>Nov-2024",8765,8765
" West Bengal<br>Dec-2024",7197,7196
" West Bengal<br>Jan-2025",7789,7787
" West Bengal<br>Feb-2025",8270,8270
" West Bengal<br>Mar-2025",10675,10675
" West Bengal<br>Apr-2025",12312,12312
" West Bengal<br>May-2025",12693,12693
" West Bengal<br>Jun-2025",13108,13108
" West Bengal<br>Jul-2025",12953,12940
" West Bengal<br>Aug-2025",11451,11451
" West Bengal<br>Sep-2025",11868,11868
" West Bengal<br>Oct-2025",10443,10443
" West Bengal<br>Nov-2025",9111,9111
" West Bengal<br>Dec-2025",7940,7940
