"Category","Peak Demand","Peak Met"
" Haryana<br>Dec-2020",7068,7068
" Haryana<br>Jan-2021",7310,7310
" Haryana<br>Feb-2021",7317,7317
" Haryana<br>Mar-2021",7018,7018
" Haryana<br>Apr-2021",7763,7763
" Haryana<br>May-2021",8286,8286
" Haryana<br>Jun-2021",11383,11383
" Haryana<br>Jul-2021",12120,12120
" Haryana<br>Aug-2021",11378,11378
" Haryana<br>Sep-2021",8980,8980
" Haryana<br>Oct-2021",8803,8803
" Haryana<br>Nov-2021",6785,6785
" Haryana<br>Dec-2021",7613,7613
" Haryana<br>Jan-2022",7164,7164
" Haryana<br>Feb-2022",7208,7208
" Haryana<br>Feb-2022",7208,7208
" Haryana<br>Mar-2022",7792,7792
" Haryana<br>Mar-2022",7792,7792
" Haryana<br>Apr-2022",9320,9320
" Haryana<br>Apr-2022",9320,9320
" Haryana<br>May-2022",10052,10052
" Haryana<br>May-2022",10052,10052
" Haryana<br>Jun-2022",12768,12768
" Haryana<br>Jun-2022",12768,12768
" Haryana<br>Jul-2022",12327,12327
" Haryana<br>Jul-2022",12327,12327
" Haryana<br>Aug-2022",12015,12015
" Haryana<br>Sep-2022",12015,12015
" Haryana<br>Oct-2022",8663,8663
" Haryana<br>Nov-2022",7578,7578
" Haryana<br>Dec-2022",8137,8137
" Haryana<br>Jan-2023",8259,8259
" Haryana<br>Feb-2023",8570,8570
" Haryana<br>Mar-2023",7732,7732
" Haryana<br>Apr-2023",9054,7604
" Haryana<br>May-2023",10654,10020
" Haryana<br>Jun-2023",11634,11634
" Haryana<br>Jul-2023",12260,12227
" Haryana<br>Aug-2023",13088,12844
" Haryana<br>Sep-2023",12753,12753
" Haryana<br>Oct-2023",9947,9947
" Haryana<br>Nov-2023",7685,7685
" Haryana<br>Dec-2023",8225,8225
" Haryana<br>Jan-2024",9530,9530
" Haryana<br>Feb-2024",8868,8868
" Haryana<br>Mar-2024",7747,7747
" Haryana<br>Apr-2024",9502,9502
" Haryana<br>May-2024",12451,12451
" Haryana<br>Jun-2024",14469,14469
" Haryana<br>Jul-2024",14662,14662
" Haryana<br>Aug-2024",12703,12703
" Haryana<br>Sep-2024",12414,12414
" Haryana<br>Oct-2024",11087,11087
" Haryana<br>Nov-2024",7848,7848
" Haryana<br>Dec-2024",9351,9351
" Haryana<br>Jan-2025",9157,9157
" Haryana<br>Feb-2025",9602,9602
" Haryana<br>Mar-2025",8750,8750
" Haryana<br>Apr-2025",9937,9937
" Haryana<br>May-2025",12526,12526
" Haryana<br>Jun-2025",13600,13600
" Haryana<br>Jul-2025",14084,14084
" Haryana<br>Aug-2025",13010,13010
" Haryana<br>Sep-2025",12787,12787
" Haryana<br>Oct-2025",11372,11372
" Haryana<br>Nov-2025",8795,8795
" Haryana<br>Dec-2025",9512,9512
