"Category","Peak Demand","Peak Met"
" Karnataka<br>Dec-2020",12123.10916666667,12102
" Karnataka<br>Jan-2021",12795,12795
" Karnataka<br>Feb-2021",13440.5775,13432
" Karnataka<br>Mar-2021",14366.655,14366.655
" Karnataka<br>Apr-2021",14158,14158
" Karnataka<br>May-2021",10829,10829
" Karnataka<br>Jun-2021",11179.6575,11174.31
" Karnataka<br>Jul-2021",11432.21166666666,11408
" Karnataka<br>Aug-2021",11371.445,11371.445
" Karnataka<br>Sep-2021",12125,12125
" Karnataka<br>Oct-2021",11210.3225,11196.9375
" Karnataka<br>Nov-2021",9389.526666666663,9356.2925
" Karnataka<br>Dec-2021",11925.8775,11910
" Karnataka<br>Jan-2022",13580.5675,13580.5675
" Karnataka<br>Feb-2022",14674,14674
" Karnataka<br>Feb-2022",14674,14674
" Karnataka<br>Mar-2022",14830.215,14818
" Karnataka<br>Mar-2022",14830.215,14818
" Karnataka<br>Apr-2022",14724.985,14724.985
" Karnataka<br>Apr-2022",14724.985,14724.985
" Karnataka<br>May-2022",12260,12260
" Karnataka<br>May-2022",12260,12260
" Karnataka<br>Jun-2022",11804.78583333333,11781
" Karnataka<br>Jun-2022",11804.78583333333,11781
" Karnataka<br>Jul-2022",10884.7475,10855
" Karnataka<br>Jul-2022",10884.7475,10855
" Karnataka<br>Aug-2022",11274.98583333334,11268
" Karnataka<br>Sep-2022",11834.05416666667,11818
" Karnataka<br>Oct-2022",10306.47833333334,10292
" Karnataka<br>Nov-2022",12463.08666666667,12448
" Karnataka<br>Dec-2022",13149,13149
" Karnataka<br>Jan-2023",14972,14972
" Karnataka<br>Feb-2023",15543,15543
" Karnataka<br>Mar-2023",15828,15828
" Karnataka<br>Apr-2023",16110,16110
" Karnataka<br>May-2023",15111,15111
" Karnataka<br>Jun-2023",14198,14198
" Karnataka<br>Jul-2023",12358.6725,12358.6725
" Karnataka<br>Aug-2023",16958.46000000001,16950
" Karnataka<br>Sep-2023",14814.24266666666,14698
" Karnataka<br>Oct-2023",15978,15978
" Karnataka<br>Nov-2023",15300.76,15203
" Karnataka<br>Dec-2023",15005,15005
" Karnataka<br>Jan-2024",15668.4525,15668.4525
" Karnataka<br>Feb-2024",16632.3475,16632.3475
" Karnataka<br>Mar-2024",17212.48,17212.48
" Karnataka<br>Apr-2024",17015.268,16985.375
" Karnataka<br>May-2024",16826,16826
" Karnataka<br>Jun-2024",14357.2,14335
" Karnataka<br>Jul-2024",13820,13820
" Karnataka<br>Aug-2024",12580,12580
" Karnataka<br>Sep-2024",16061,16050
" Karnataka<br>Oct-2024",12850,12850
" Karnataka<br>Nov-2024",14853,14853
" Karnataka<br>Dec-2024",15353,15312
" Karnataka<br>Jan-2025",17757,17691
" Karnataka<br>Feb-2025",18350,18350
" Karnataka<br>Mar-2025",18398,18395
" Karnataka<br>Apr-2025",17351,17330
" Karnataka<br>May-2025",15952,15952
" Karnataka<br>Jun-2025",13945,13917
" Karnataka<br>Jul-2025",15014,15014
" Karnataka<br>Aug-2025",14708,14700
" Karnataka<br>Sep-2025",14486,14486
" Karnataka<br>Oct-2025",14508,14508
" Karnataka<br>Nov-2025",15978,15978
" Karnataka<br>Dec-2025",17220,17220
