"Category","Peak Demand","Peak Met"
" Madhya Pradesh<br>Dec-2020",15755.881584,15668.14
" Madhya Pradesh<br>Jan-2021",15499.58,15499.58
" Madhya Pradesh<br>Feb-2021",14983.44,14983.44
" Madhya Pradesh<br>Mar-2021",13072.97,13072.97
" Madhya Pradesh<br>Apr-2021",11392.35,11392.35
" Madhya Pradesh<br>May-2021",10239.52,10239.52
" Madhya Pradesh<br>Jun-2021",9418.140000000001,9418.140000000001
" Madhya Pradesh<br>Jul-2021",11194.47,11194.47
" Madhya Pradesh<br>Aug-2021",10704.82071,10686.12
" Madhya Pradesh<br>Sep-2021",10492.177399,10470.19
" Madhya Pradesh<br>Oct-2021",11065.566658,11053.96
" Madhya Pradesh<br>Nov-2021",14480.92,14480.92
" Madhya Pradesh<br>Dec-2021",15916.6,15916.6
" Madhya Pradesh<br>Jan-2022",15516.99,15516.99
" Madhya Pradesh<br>Feb-2022",15701.61,15701.61
" Madhya Pradesh<br>Feb-2022",15701.61,15701.61
" Madhya Pradesh<br>Mar-2022",14257.18,14257.18
" Madhya Pradesh<br>Mar-2022",14257.18,14257.18
" Madhya Pradesh<br>Apr-2022",12750.942728,12592.28
" Madhya Pradesh<br>Apr-2022",12750.942728,12592.28
" Madhya Pradesh<br>May-2022",12541.081657,12479.93
" Madhya Pradesh<br>May-2022",12541.081657,12479.93
" Madhya Pradesh<br>Jun-2022",11519.93916,11479.76
" Madhya Pradesh<br>Jun-2022",11519.93916,11479.76
" Madhya Pradesh<br>Jul-2022",10244.1859134995,10237.02
" Madhya Pradesh<br>Jul-2022",10244.1859134995,10237.02
" Madhya Pradesh<br>Aug-2022",10957,10957
" Madhya Pradesh<br>Sep-2022",10973,10973
" Madhya Pradesh<br>Oct-2022",11752.224944,11752.224944
" Madhya Pradesh<br>Nov-2022",16085,16085
" Madhya Pradesh<br>Dec-2022",17140.7767634105,17110.832806
" Madhya Pradesh<br>Jan-2023",17346.5997034584,17238
" Madhya Pradesh<br>Feb-2023",15874.59357286965,15857.942733
" Madhya Pradesh<br>Mar-2023",14298,14298
" Madhya Pradesh<br>Apr-2023",12402.254308,12402.254308
" Madhya Pradesh<br>May-2023",12286,12286
" Madhya Pradesh<br>Jun-2023",11837,11837
" Madhya Pradesh<br>Jul-2023",12006.29,12006.29
" Madhya Pradesh<br>Aug-2023",13624.047,13605
" Madhya Pradesh<br>Sep-2023",14872.7928,14852
" Madhya Pradesh<br>Oct-2023",15251.5852,15209
" Madhya Pradesh<br>Nov-2023",17120.9358,17097
" Madhya Pradesh<br>Dec-2023",17819,17819
" Madhya Pradesh<br>Jan-2024",18252,17817
" Madhya Pradesh<br>Feb-2024",16997.9472,16992
" Madhya Pradesh<br>Mar-2024",13594,13594
" Madhya Pradesh<br>Apr-2024",13151,13151
" Madhya Pradesh<br>May-2024",14309,14309
" Madhya Pradesh<br>Jun-2024",13953,13953
" Madhya Pradesh<br>Jul-2024",12748,12735
" Madhya Pradesh<br>Aug-2024",11822,11822
" Madhya Pradesh<br>Sep-2024",12677,12677
" Madhya Pradesh<br>Oct-2024",13610,13563
" Madhya Pradesh<br>Nov-2024",17941,17923
" Madhya Pradesh<br>Dec-2024",19371,19183
" Madhya Pradesh<br>Jan-2025",18593,18580
" Madhya Pradesh<br>Feb-2025",18596,18596
" Madhya Pradesh<br>Mar-2025",16622,16622
" Madhya Pradesh<br>Apr-2025",14527,14486
" Madhya Pradesh<br>May-2025",13844,13844
" Madhya Pradesh<br>Jun-2025",12733,12733
" Madhya Pradesh<br>Jul-2025",12584,12584
" Madhya Pradesh<br>Aug-2025",12869,12869
" Madhya Pradesh<br>Sep-2025",13116,13116
" Madhya Pradesh<br>Oct-2025",13518,13518
" Madhya Pradesh<br>Nov-2025",18323,18323
" Madhya Pradesh<br>Dec-2025",19851,19851
