State,EV_Registrations_2025,EVs_per_1Lakh_People_Latest
Andhra Pradesh,69495.0,129.84
Delhi,107644.0,486.07
Gujarat,86280.0,117.83
Haryana,37137.0,120.04
Karnataka,221441.0,323.09
Kerala,115400.0,320.0
Madhya Pradesh,158886.0,179.24
Maharashtra,278993.0,217.4
Punjab,46136.0,148.24
Rajasthan,123153.0,148.79
Tamil Nadu,190823.0,246.81
Telangana,88881.0,231.14
Uttar Pradesh,414565.0,172.4
West Bengal,133390.0,133.33
